Accuracy;try_number;date;model
0.794;1;19.11.2020;no fe, clf :lr iter 1000 , random state 59, vect
0.80823;2;21.11.2020;fe : further text processing, lr iter 1000 , random state 59
0.80560;3;22.11.2020;no fe, lr CV iter 4000 cv 2 random state 59 
0.80735;4;22.11.2020;no fe, lr CV iter 4000 cv 10 random state 59 
0.80735;5;22.11.2020;no fe, lr CV iter 4000 cv 5 random state 59 
0.80472;6;30.11.2020;fe : add keyword x2 to text, lr iter 1000 , random state 59
0.80648;7;30.11.2020;fe :less cleaning, adding keyword
0.80998;8;05.12.2020;fe : less cleaning, withoutkeyword, lr CV cv 3 tfidf : ngram 1 2
0.79159;9;05.12.2020;fe : more cleaning, adding keyword, same clf
0.80560;10;05.12.2020;HT 2
0.80735;11;05.12.2020;HT 1
0.80385;12;05.12.2020;fe : no cleaning (only http..) no keyword, LogisticRegressionCV(solver='lbfgs',cv = 4, max_iter=1200)
0.80823;13;06.12.2020;fe : no cleaning, classifier = LogisticRegressionCV(solver='lbfgs',cv = 4, max_iter=1200)
0.80823;14;06.12.2020;fe : same, clf same, vect = TfidfVectorizer(max_df = 0.25,ngram_range=(1, 3), tokenizer=spacy_token)
0.79858;15;06.12.2020;fe : no cleaning, doc2vec, lr = c 1 l2 newton
0.80998;16;07.12.2020;fe : advanced cleaning, clf : LR 1300 lbfgs tfidf : (1,2) max_df 0,95 + preprocess data_test
0.80473;17;07.12.2020;fe : advanced cleaning, LogisticRegressionCV(solver='lbfgs',cv = 3, max_iter=1200) + preprocess data_test
0.81348;18;07.12.2020;"fe : advanced cleaning, 
classifier = LogisticRegression(solver='lbfgs', max_iter=1300),tfidf = TfidfVectorizer(max_df = 0.95, min_df = 0.0, ngram_range=(1, 2), tokenizer=spacy_token)"
0.81523;19;08.12.2020;fe : less cleaning, pipeline = same
0.81698;20;08.12.2020;fe : special caracters cleaning generalized, pipeline = same
0.81348;21;08.12.2020;error
0.81348;22;09.12.2020;error
0.82049;23;09.12.2020;played with cleaning : english contractions
0.82224;24;09.12.2020;played with cleaning : english contractions
0.82224;25;09.12.2020;played with cleaning : english contractions
0.82224;26;09.12.2020;played with cleaning : english contractions
0.82136;27;10.12.2020;played with cleaning : english contractions
0.82312;28;10.12.2020;played with cleaning : english contractions
0.82224;29;10.12.2020;played with cleaning : english contractions
0.82399;30;10.12.2020;played with cleaning : english contractions
